umhlaba	u m hlaba
uyalala	u ya lal a
lakwakhe	l a kw akhe
lakwakho	la kwa kho
kwabuye	kw a buye
avukwe	a vuk w e
kulezonsuku	ku le z o n suku
nomufi	n o mu f i
ukhohlisa	u khohl is a
ngokujwayelekile	ng o ku jwayel ek ile
kuyothi	ku yo thi
ubuso	u bu so
sekuzula	se ku zul a
zizobamhlophe	zi zo b a mhlophe
angifuni	a ngi fun i
azilandele	a zi landel e
wayekwazi	w a ye kw azi
izithelo	i zi thel o
beqhamuka	be qhamuk a
izinhlobonhlobo	i zin hlobonhlobo
oke	o ke
yenzeke	y enz ek e
kulindwe	ku lind w e
yenzeka	y enz ek a
eseqedile	e se qed ile
uhlala	u hlal a
aseyenzile	a se y enz ile
asizona	a si zo na
edlula	e dlul a
emzuma	e m zum a
kustyles	ku styles
umanzi	u ma nzi
wayezibuza	w a ye zi buz a
iqhude	i qhude
sasingakawuthathi	s a si nga ka wu thath i
wayezibhala	w a ye zi bhal a
leyamifothongwane	le ya mi fothongw ane
usathibile	u sa thib ile
siqondeni	si qond e ni
siphethe	si pheth e
ngiyakhala	ngi ya khal a
ishaya	i shay a
ishaye	i shay e
bezihambela	be zi hamb el a
yenziwa	y enz iw a
bebuzwa	be buz w a
zibaba	zi bab a
bafundela	ba fundel a, b a fundel a
ayibhalile	a yi bhal ile
ngiyobhobokela	ngi yo bhobok el a
kugcine	ku gcin e
lensizwa	le n sizwa
usushada	u s u shad a
usuyifuna	u s u yi fun a
usolongi	u solongi
wayekubonephi	w a ye ku bon e phi
bazibonele	ba zi bon el e
engamphendula	e ng a m phendul a
ongubuhle	o ng u bu hle
ekhanda	e khanda
sezinyathela	se zi nyathel a
kapedasuri	ka pedasuri
bukajehova	buka jehova
esebanikile	e se ba nik ile
esadideke	e sa did ek e
yevila	y e vila
waqina	w a qin a
abanye	a ba nye
wayesezimisele	w a ye se zi m is el e
kwakuzongisiza	kw a ku zo ngi siz a
azisebenzele	a zi sebenzel e
ndawo	n dawo
labuye	l a buye
masibisi	ma si bisi
izoqaqeka	i zo qaq ek a
ukuyibizela	u ku yi biz el a
elusile	e lu s ile
nezichwe	n e zi chwe
mama	mama
ukujuluka	u ku juluk a
nokubona	n o ku bon a
lokuvusa	l o ku vus a
bemi	b em i
uxibuyisele	u xibuy is el e
udle	u dl e
iphele	i phel e
esegezile	e se gez ile
angimgijimele	a ngi m gijim el e
beme	be m e, b em e
ugxila	u gxil a
iqale	i qal e
impukane	i m pukane
nelambu	n e lambu
akumangalisi	a ku mangal is i
uzosala	u zo sal a
ambuyisele	a m buy is el e
wasikhipha	w a si khiph a
ngangisebenza	ng a ngi sebenz a
yabaphathizitsha	y a ba phath i zi tsha
sokugcina	s o ku gcin a
ifinyelele	i finyel el e
khisha	khish a
ifinyelela	i finyel el a
ukuzizwa	u ku ziz w a
amahlombe	a ma hlombe
iziboshwa	i zi bosh w a
ukhuza	u khuz a
laliqala	l a li qal a
imeqa	i m eq a
imeqe	i m eq e
iyabheda	i ya bhed a
esayozama	e sa yo zam a
wethemba	w ethemb a, w e themb a
wayeyokuzwa	w a ye yo ku zw a
wethembe	w ethemb e
ngenxa	ng e n xa
babikelwani	ba bik el w a ni
endalini	e n dal ini
bamsiza	ba m siz a
eziko	e ziko
ngesango	ng e s ango
inceku	i n ceku
ka	ka
ke	ke
useba	u s eb a
ungathini	u nga thi ni
ku	ku
kufunwa	ku fun w a
amehlo	a me hlo
umnotho	u m noth o
sikuzwele	si ku zw el e
usigaxamabhande	u si gax a ma bhande
engikucelayoyilo	e ngi ku cel a yo yi lo
wayesemtshelelani	w a ye se m tshel el a ni
amathe	a ma the
umzumbe	u m zumbe
ukulungisa	u ku lung is a
sekwenzenjani	se kw enz e njani
benza	b enz a
nomhlambi	n o m hlamb i
novalo	n o valo
sebetalajwa	se be talaj w a
njengenxenye	njeng e n xenye
sekuwukunyamalala	se ku w u ku nyamalal a
kabili	ka bili
mntwana	m ntwana
wonke	wo nke
amadodana	a ma dod ana
nakimi	na ki mi
ingemukelwanga	i ng emukel w anga
ukhokha	u khokh a
lushayeka	lu shay ek a
ngethaka	ng e thaka
yambhuquzisa	y a m bhuquz is a
izinduku	i zin duku
abasaqungayo	a ba sa qung a yo
sizoma	si zo m a
bathathe	ba thath e
ihora	i hora
yise	yi s e
ngalokhoke	nga lo kh o ke
sezinezilonda	se zi n e zi londa
kuzithenga	ku zi theng a
efanele	e fanel e
emini	e mini
useyayazi	u se ya y azi
inezesheli	i n e z e sheli
ngencwadi	ng e n cwadi
yahamba	y a hamb a
ngeviki	ng e viki
ukwenza	u kw enz a
ukwenze	u kw enz e
ibambane	i bamb an e
sidlale	si dlal e
icala	i cala
ngamibuzo	ng a mi buz o
ungithanda	u ngi thand a
abonge	a bong e
awayikubuyela	a wa yi ku buy el a
wethu	w ethu
ningi	ningi
elimnyama	e li mnyama
ukuzilalela	u ku zi lal el a
abadonse	a ba dons e
limumethe	li mumeth e
ike	i ke
namanje	na manje
lombuzo	lo m buz o
kwegquma	kw e gqum a
liyashelela	li ya shelel a
athufele	a thufel e
anakwe	a nak w e
ngokuqoma	ng o ku qom a
ngaye	nga ye
bacebe	ba ceb e
ucubungule	u cubungul e
ngayo	nga yo
bonga	bong a
wazilandela	w a zi landel a
yayihlezi	y a yi hlez i
ngebhasi	ng e bhasi
alusekho	a lu se kho
babambana	ba bamb an a
kwaphuma	kw a phum a
abaziwayo	a b az iw a yo
niyazibonela	ni ya zi bon el a
walala	w a lal a
abadlali	a ba dlal i
kunjengokuba	ku njeng o kuba
esesikhipha	e se si khiph a
enqiba	e nqib a
webantu	we ba ntu
kuyo	ku yo
ikuthenga	i ku theng a
kuya	ku y a
kuye	ku y e
asekushilo	a se ku sh ilo
uyawabala	u ya wa bal a
azokubamba	a zo ku bamb a
wayisho	w a yi sho
afakane	a fak an e
zingakuhambeli	zi nga ku hamb el i
yasemahlongwa	ya se ma hlongwa
ebloemfontein	e bloemfontein
namahlonyana	n a ma hlony ana
lisamile	li sa m ile
ngigobile	ngi gob ile
izaba	i z ab a
ngomnyaka	ng o m nyaka
bengenamahloni	be nge na ma hloni
ukufiphaza	u ku fiphaz a
siyifanele	si yi fan el e
alize	a li z e
sewubona	se wu bon a
okungasho	o ku nga sho
kuhleliwe	ku hlel iw e, ku hleli w e
esabukhipha	e sa bu khiph a
kwalithathelela	kw a li thathel el a
sekuze	se ku z e
imthukuthelele	i m thukuthel el e
odumile	o dum ile
sebebaningi	se be ba ningi
ingibangile	i ngi bang ile
ngumsebenzi	ng u m sebenz i
ngisebenzisa	ngi sebenz is a
ifake	i fak e
kuzodinga	ku zo ding a
ngazithela	ng a zi thel a
ngaleyonto	nga le y o n to
ngobani	ng o bani
wacondebezela	w a condebez el a
sesiyakhala	se si ya khal a
hhawu	hhawu
kwakukwalillian	kw a ku kwa lillian
sehlukanisiwe	s ehluk an is iw e
siyozingenela	si yo zingenel a, si yo zi ngen el a
acabangisise	a cabang isis e
ukubabhozomela	u ku ba bhozom el a
avuke	a vuk e
ayenza	a y enz a
ukukuqeda	u ku ku qed a
wafisa	w a fis a
ayenze	a y enz e
ezohamba	e zo hamb a
wayeziphekela	w a ye zi phek el a
belusa	b elus a
sengiqhamukela	se ngi qhamuk el a
bazikholisa	ba zi khol is a
bathole	ba thol e
wangidlisa	w a ngi dl is a
amthola	a m thol a
bathola	ba thol a
lisho	li sho
ngokulingana	ng o ku ling an a
kuyaposwa	ku ya pos w a
azingihloniphi	a zi ngi hloniph i
sekuhambe	se ku hamb e
yindlela	y i n dlela
bafise	ba fis e
ogoqiwe	o goq iw e
qwa	qwa
hwalahwala	hwalahwala
yayeneme	y a y enem e
ezidabukela	e zi dabukel a
emalolini	e ma lol ini
ngisahlezi	ngi sa hlez i
ngilapha	ngi lapha
umzimba	u m zimba
yicala	y i cala
kithina	ki thi na
ngilapho	ngi laph o
umhluphelani	u m hluph el a ni
sebengifulathele	se be ngi fulathel e
ayamhlanganyela	a ya m hlangany el a
kumuntu	ku mu ntu
kadolly	ka dolly
ayekubo	a ye ku bo
kungadingeka	ku nga ding ek a
lesisithunzi	le si si thunzi
ezisencane	e zi se ncane
unekhanda	u n e khanda
esenokuzihlalela	e se n o ku zi hlal el a
wakwazi	w a kw az i
umhlangano	u m hlangano
beluqondeni	be lu qond e ni
eharada	e harada
imihla	i mi hla
kuthe	ku th e
bakuphi	ba ku phi
kwesiwa	kw e si wa
kwakungamkhathazi	kw a ku nga m khathaz i
ayezobonakala	a ye zo bon akal a
ngusiqinti	ngu si qinti
ivela	i vel a
kuthi	ku thi
ivele	i vel e
ayilutho	a yi lu tho
kuyaxoxwa	ku ya xox w a
sengithole	se ngi thol e
emzimbeni	e m zimb eni
kuchachaze	ku chachaz e
ibhasi	i bhasi
zaxutshaniswa	z a xutsh an is w a
zihlabe	zi hlab e
ayesefica	a ye se fic a
zibanzi	zi banzi
awusasebenzi	a wu sa sebenz i
salukazi	s alu kazi
usevukile	u se vuk ile
ezinganeni	e zin gan eni
nguhluphile	ng u hluph ile
umthembu	u m thembu
ukushiya	u ku shiy a
awuchele	a w uchel e, a wu chel e
sesiwubonile	se si wu bon ile
ingabe	i nga b e
isende	i sende
sewakhetha	se wa kheth a
amalambu	a ma lambu
wangincisha	w a ngi ncish a
babengamkhohlwa	b a be nga m khohl w a, ba be nga m khohl w a
dlanini	dl a nini
amaphepha	a ma phepha
nengqondo	n e n gqond o
usaphila	u sa phil a
israyeli	israyeli
sekuphindelwa	se ku phind el w a
emyeka	e m yek a
wakude	wa ku de
entsha	e n tsha
wawungezwa	w a wu nge zw a
bezwe	be zw e
bezwa	b ezw a
nakhuya	na khu ya
ubewagcina	u be wa gcin a
uyakwazi	u ya kw azi
siyiyeke	si yi yek e
lena	le na
obemele	o be m el e
sekwexwaye	se kw exway e
ngikhumbula	ngi khumbul a
ukushaya	u ku shay a
beshaqeke	be shaq ek e
bekutshela	be ku tshel a
ngiyamhambisela	ngi ya m hamb is el a
emgwaqeni	e m gwaq eni
lagoge	l a gog e
kamuva	ka muva
besondela	be sondel a
esekuphuzile	e se ku phuz ile
abafana	a ba fana
myeke	m yek e
maqede	maqede
ngiyakutshela	ngi ya ku tshel a
imumethe	i mumeth e
sekuzobadonsa	se ku zo ba dons a
ethini	e thi ni
salokho	sa lo kh o
idlandaba	i dl a n daba
zizitika	zi zi tik a
sibindi	si bindi
ngemfanelo	ng e m fanel o
zithengisiwe	zi theng is iw e
kwahamba	kw a hamb a
ngenza	ng enz a
ngenze	ng enz e
nobhanana	n o bhanana
kuzwakale	ku zw akal e
uzohlala	u zo hlal a
kuhlangene	ku hlangen e
okaqwabe	o ka qwabe
esambane	e s ambane
umhlwazimamba	u m hlwaz i mamba
kwalamanzi	kwa la ma nzi
ngikutshelile	ngi ku tshel ile
axakwe	a xak w e
okwaze	o kw a ze
eshiye	e shiy e
kobani	k o bani
unkala	u n kala
kumenyezela	ku menyez el a
lomunye	l o mu nye
vele	vele
yasegugwini	ya se gugw ini
ukucaca	u ku cac a
umchilo	u m chil o, u m chilo
basondela	ba sondel a
ugranti	u granti
aroni	aroni
kuxaka	ku xak a
umnumzane	u m numzane
esiphakeme	e si phakem e
yisikhwele	y i si khwele
sisaphuma	si sa phum a
bethanda	be thand a
esemdadlana	e se m dadl ana
nezithithibala	n e zi thithibala
inkatha	i n katha
ngemibuzo	ng e mi buz o
lidla	li dl a
uyothi	u yo thi
lidle	li dl e
isiguga	i si gug a
nelengayi	n e lengayi
ngizobabuza	ngi zo ba buz a
zingigqolozele	zi ngi gqoloz el e
omkhulu	o m khulu
ngiyakuhlala	ngi ya ku hlal a
yaphela	y a phel a
uyangcweka	u ya ngcwek a
usemncane	u se m ncane
limi	li m i, limi
amahebezi	a ma hebez i, a ma hebezi
cha	cha
bengimbona	be ngi m bon a
wagxumela	w a gxum el a
bethu	b ethu
bethi	be thi
abazi	a b azi
ukukufihla	u ku ku fihl a
kukwakhe	ku kw akh e
kumame	ku mame
singena	si ngen a
azibonele	a zi bon el e
uzokuba	u zo ku b a
nomamdunge	n o ma mdunge
umfowenu	u m fo w enu
esakubalayo	e sa ku bal a yo
usuvamile	u s u vam ile
qhamu	qhamu
angisaphathi	a ngi sa phath i
samangala	s a mangal a
ehlathini	e hlath ini
kaziphelele	ka zi phel el e
ayelwa	a ye lw a
wayevamise	w a ye vam is e
belimibala	belimibala
oluzokuba	o lu zo ku b a
bacele	ba cel e
waxakwa	w a xak w a
kwenzekani	kw enz ek a ni
seziyamqopha	se zi ya m qoph a
nangesineke	n a nge sinek e
ubethi	u beth i
kudla	ku dl a
afe	a f e
lami	la mi
kudle	ku dl e
ngaphika	ng a phik a
yisifuba	y i si fuba
bakwamanase	ba kwa manase
ngabantwana	ng a ba ntwana
ngazi	ng azi
emoyeni	e moy eni
iqhubeke	i qhub ek e
izilima	i zi lima
akakalilandi	a ka ka li land i
namazinyo	n a ma zinyo
usephenduka	u se phenduk a
ngezinkomo	ng e zin komo
nozethu	n o zethu
bazisane	b az is an e
zibanga	zi bang a
ngiyabezwela	ngi ya b ezw el a
kasawoti	ka sawoti
kwedolobha	kw e dolobha
ubelesele	u belesel e
emhlophe	e mhlophe
sekukhalwa	se ku khal w a
kwenze	kw enz e
yachaphazela	y a chaphazel a
upunda	upunda
kwenza	kw enz a
izisebenzi	i zi sebenz i
amshiya	a m shiy a
madoda	ma doda
ngacabanga	ng a cabang a
ibuthathephi	i bu thath e phi
ukukhathala	u ku khathal a
abengamele	a b engamel e
imizi	i mi zi
zihlobo	zi hlobo
le	le
ngomunye	ng o mu nye
ngalolo	nga lo l o
lo	lo
ongeke	o nge ke
izibhobo	i zi bhob o
ngawugxumela	ng a wu gxumel a
umufi	u mu f i
emzini	e m z ini
ezilukhuni	e zi lukhuni
sabona	s a bon a
esephaphatheka	e se phaphath ek a
egcina	e gcin a
nenyanga	n e nyanga
ehlulwa	e hlul w a
sizithele	si zi thel e
ngolunye	ng o lu nye
ngiwezwile	ngi w ezw ile
eceleni	e cel eni
okwabantu	o kw a ba ntu
ungithumeleni	u ngi thum el e ni
okufanele	o ku fan el e
yiyo	yi yo
wawabuyisela	w a wa buy is el a
ngizakubulalela	ngi za ku bulal el a
nonyoko	n o nyoko
nanamhla	na na m hla
nambili	na m bili
kwahlala	kw a hlal a
uyayithanda	u ya yi thand a
wathatha	w a thath a
ukokutshela	u ko ku tshel a
cwi	cwi
kodlalwa	k o dlal w a
elwayiza	e lwayiz a
abazali	a ba zal i
uvulela	u vul el a
abazala	a ba zal a
kusizakala	ku siz akal a
owayebhale	o w a ye bhal e
ukuhlomela	u ku hlomel a
masisukume	ma si sukum e
bayazi	ba y azi
kulobutshwala	ku lo bu tshwala
lihanjiswe	li hanj is w e
singabokufika	si nga bo ku fik a
eseza	e s ez a
wachela	w a chel a
emane	e mane
cishe	cishe
uyadabuka	u ya dabuk a
abazifunayo	a ba zi fun a yo
wokushokusha	w o ku shokush a
ezithele	e zi thel e
bemnaka	be m nak a
nalokhokuhlupha	na lo kh o ku hluph a
esezwa	e se zw a
edolobheni	e dolobh eni
usefana	u se fan a
ubengayazi	u be nga y azi
umamdunge	u m amdunge, u mamdunge
ezihlalele	e zi hlal el e
isinkwa	i si nkwa
ukuyichazela	u ku yi chaz el a
usiza	u siz a
usize	u siz e
yogulayo	y o gul a yo
usizi	u sizi
usizo	u siz o
izigqoko	i zi gqok o
sengizombophela	se ngi zo m boph el a
bezele	be z el e
ubuphukuphuku	u bu phukuphuku
ngiyahamba	ngi ya hamb a
elisikhohlisa	e li si khohl is a
iziyalo	i zi yal o
ozangaza	o zangaz a
ingamashumi	i nga ma shumi
nelikamashobana	n e lika ma shob ana
ulivila	u li vila
munye	mu nye
ude	u de
elikholwa	e li khol w a
kwagcina	kw a gcin a
eliboshelwe	e li bosh el w e
ngenziwa	ng enz iw a
yena	ye na
ethukile	e thuk ile
yikushisa	y i ku shisa
azisale	a zi sal e
yikumamatheka	yi ku mamathek a
zikhona	zi kho na
bayophuma	ba yo phum a
ukuthola	u ku thol a
ingenelwe	i ngen el w e
ngingalazi	ngi nga l azi
ezinhle	e zin hle
bazilile	b a zi lil e
kawazi	ka w azi
ngolwesihlanu	ng o lw e si hlanu
isitimela	i si timela
imfucuza	i m fucuza
esibabayo	e si bab a yo
yokuphunyula	y o ku phunyul a
esibhedlela	e si bhedlela
nasezinkantolo	na se zin kantolo
nosizo	n o siz o
sesiyolinda	se si yo lind a
kushunqa	ku shunq a
kulawomadwala	ku la w o ma dwala
ngamelwe	ng a m el w e
ekucabanga	e ku cabang a
zonke	zo nke
waziphekela	w a zi phek el a
athengisele	a theng is el e
wawufunda	w a wu fund a
ebesiwuphethe	e be si wu pheth e
kuleli	ku le li
egqiha	e gqih a
ukuphumulela	u ku phumulel a
ebhekekayo	e bhek ek a yo
esasilangazelela	e s a si langazel el a
kwendlu	kw e n dlu
samkhanyisa	s a m khany is a
waphambanisa	w a phamban is a
kuyazalwa	ku ya zal w a
shi	shi
nasemhlane	na se m hlane
kwendle	kw e n dle
umlomo	u m lomo
encane	e ncane
ukungabaza	u ku nga baz a
oyedwa	o ye dwa
umkhaba	u m khaba
engayi	e nga y i
iphuza	i phuz a
yaqalaza	y a qalaz a
ngemisebenzi	ng e mi sebenz i
leli	le li
lobo	lo b o
ubaba	u baba
engingasazi	e ngi nga s azi
lelo	le l o
uzalwa	u zal w a
ubunzima	u bu nzima
nangokufana	na ng o ku fan a
ukugibela	u ku gibel a
angizalwanga	a ngi zal w anga
endaleni	e n dal eni
buthelezi	bu thelezi
ngumshikashika	ng u m shika shika
lobu	lo bu
ndlela	n dlela
wayezofuna	w a ye zo fun a
nihambe	ni hamb e
ethuke	e thuk e
ethuka	e thuk a
wawa	w a w a
yombhulelo	y o m bhulel o
iconsa	i cons a
sesihlola	se si hlol a
uyise	u yise
bamenze	ba m enz e
ngiyabakitaza	ngi ya ba kitaz a
wakhutshwa	w a khutsh w a
sikhala	si khal a
ngumzukazuku	ng u m zukazuku
ngeminyaka	ng e mi nyaka
kusenamanxeba	ku se n a ma nxeba
akathanda	a ka thand a
ileyo	i le y o
thushu	thushu
amacala	a ma cala
akufananga	a ku fan anga
ngikhohlwe	ngi khohl w e
esiliva	e siliva
kumanjena	ku manje na
kulesisinyokotho	ku le si si nyokotho
escottburgh	e scottburgh
lengane	l e n gane
udamane	u damane
sebeyashudula	se be ya shudul a
bekwazi	be kw azi
lesisicelo	le si si cel o
ukwedlulisa	u kw edlul is a
bambone	ba m bon e
ngumanzuza	ng u manzuza
zimlibazisa	zi m libaz is a, zi m libazis a
ohlwathizayo	o hlwathiz a yo
qalaqala	qala qal a
useyindoda	u se y i n doda
esibayeni	e si bay eni
okwakungathiwa	o kw a ku nga th iw a
yindilingakazi	y i n dilinga kazi
unkabi	u n kabi
eyohlaba	e yo hlab a
sibonwa	si bon w a
wanquma	w a nqum a
basebenzisa	b a sebenz is a
ngamayezi	ng a ma yezi
akasayisuseli	a ka sa yi sus el i
adinge	a ding e
akazange	a ka zang e
behlangene	be hlangen e
ayisengangawo	a yi se nganga wo
sikhohlane	si khohl an e
usefika	u se fik a
ziyinkinga	zi y i n kinga
idwala	i dwala
ekade	e kade
eseduze	e se duze
niki	niki
gazi	gazi
izikhathi	i zi khathi
ngithande	ngi thand e
okukhombisayo	o ku khomb is a yo
eslangspruit	e slangspruit
weza	w ez a
yilawo	yi la w o
ngithole	ngi thol e
akakawufaki	a ka ka wu fak i
akwenzekanga	a kw enz ek anga
angazanga	a ng az anga
ngemoto	ng e moto
umnyama	u mnyama
onake	o nak e
akuphume	a ku phum e
odakeni	o dak eni
nokuyenza	n o ku y enz a
nokunye	n o ku nye
ukuncokola	u ku ncokol a
wayezwa	w a ye zw a
asebejwayelene	a se be jwayel en e
baphumelele	ba phumelel e
ngukuthi	ng ukuthi
ukuphatha	u ku phath a
wezalukazi	w e z alu kazi
ukuxoxaxoxa	u ku xoxaxox a
utom	u tom
sidakiwe	si dak iw e
ikhuluphele	i khuluphel e
wahlehlela	w a hlehl el a
ziyashaywa	zi ya shay w a
kwakhohleka	kw a khohl ek a
imikhonto	i mi khonto
umkakho	u m ka kho
kuqhelile	ku qhel ile
ayamkhumbula	a ya m khumbul a
umkakhe	u m ka khe
ngizibeke	ngi zi bek e
imzalele	i m zal el e
eqeda	e qed a
ezwe	e zw e
bazophindela	ba zo phind el a
ezwa	e zw a
asilingise	a si ling is e
kabi	ka bi
wenela	w enel a
enolaka	e n o laka
kwasekuzokhuluma	kw a se ku zo khulum a
yedlula	y edlul a
umntwana	u m ntw ana
uvalo	u valo
akhungatheke	a khungath ek e
ehluleke	e hlul ek e
sibatshela	si ba tshel a
sebeqala	se be qal a
kwamhlongo	kwa m hlongo
esangoma	e s angoma
kamfowabo	ka m fo wa bo
odokotela	o dokotela
sengishintshelwa	se ngi shintsh el w a
wakhipha	w a khiph a
iyibukele	i yi buk el e
sajuluka	s a juluk a
ngethuka	ng ethuk a
azongena	a zo ngen a
uhambe	u hamb e
lika	lika
uhamba	u hamb a
induku	i nduku
athi	a thi
ulalele	u lalel e
kuyaphithizelwa	ku ya phithiz el w a
asinamfundisi	a si na m fund is i
nemikhuba	n e mi khuba
ingasho	i nga sho
akachithanga	a ka chith anga
ngamatshe	ng a ma tshe
nenkosikazi	n e n kosi kazi
ngishilo	ngi sh ilo
ukulindiswa	u ku lind is w a
nje	nje
esasibhaklazeke	e s a si bhaklaz ek e
otshele	o tshel e
otshela	o tshel a
alibhekisisa	a li bhek isis a
ukupheka	u ku phek a
nomama	n o mama
nothoko	n o thok o
sekuyikho	se ku yi kho
zizizele	zi zi zel e
elaba	e laba
yesalukazi	y e salukazi, y e s alukazi
incane	i ncane
lawuthobela	l a wu thob el a
engingakusho	e ngi nga ku sho
okukhanyisile	o ku khany is ile
wabenzela	w a b enz el a
siphume	si phum e
ngalobobusuku	nga lo b o bu suku
isiziwe	i siz iw e
ngomuthi	ng o mu thi
maningi	ma ningi
nokukhokhiswa	n o ku khokh is w a
kuzokwehlisa	ku zo kw ehl is a
inkulumo	i n kulum o
wangimba	w a ngi mb a
zimklwebha	zi m klwebh a
selimi	se li m i
inhlinini	i n hlinini
nakwendlala	na kw e n dlala
eselele	e se lel e
makuxoxwe	ma ku xox w e
wangephula	w a ng ephul a
woziyisa	w o zi y is a
ayakuthanda	a ya ku thand a
zedrama	z e drama
kwakufuneka	kw a ku fun ek a
bebheke	be bhek e
bebheka	be bhek a
kusasa	ku sasa
sekuthe	se ku th e
sekuthi	se ku thi
uzofike	u zo fik e
ukumchazela	u ku m chaz el a
owayecabangile	o w a ye cabang ile
ngangiqala	ng a ngi qal a
kunini	ku nini
umonakalo	u m on akal o
sekudlule	se ku dlul e
eseseduze	e se se duze
okwenzeka	o kw enz ek a
nokunyamalala	n o ku nyamalal a
ngamaqembu	nga ma qembu
kwakuzwakale	kw a ku zw akal e
kwakuzwakala	kw a ku zw akal a
behlala	be hlal a
ikhona	i kho na
ngiyigula	ngi y i gula
yamnqumela	y a m nqum el a
nodolly	n o dolly
sekuntambama	se ku ntambama
sezinzima	se zi nzima
bengangibuyisela	be nga ngi buy is el a
ngingakadubuli	ngi nga ka dubul i
makhulu	ma khulu
ungafika	u nga fik a
isipho	i si ph o
agugele	a gug el e
njengohlanya	njeng o hlanya
usuyalwa	u s u y al w a
ube	u b e
iyamthanda	i ya m thand a
lomfanyana	l o m fany ana
kuvelaphi	ku vel a phi
sengiyaxoshwa	se ngi ya xosh w a
nomshado	n o m shad o
mnandi	mnandi
ayikedluli	a yi k edlul i
besingehlukene	be si ng ehluk en e
bakageorge	baka george
yingakho	yi nga kho
uyezwa	u y ezw a
kungacelwanga	ku nga cel w anga
emhlanganweni	e m hlangan w eni
baphanga	ba phang a
makazivumise	ma ka zi vum is e
fiyo	fiyo
kuzwakele	ku zw akel e
izinwele	i zi nwele
wehlulwe	w ehlul w e
nwi	nwi
licashe	li cash e
ngazikile	ng a zik ile
khulu	khulu
nosikhuni	n o si khuni
wezwa	w ezw a
ngeyesigodlo	ng e y e si godlo
limkhumbuze	li m khumbuz e
kokuba	k o kuba
ngibhobozile	ngi bhoboz ile
angambulala	a nga m bulal a
yokulindela	y o ku lind el a
isebenza	i sebenz a
nezokuhlobisa	n e z o ku hlob is a
bamnike	b a m nik e
ayowubeke	a yo wu bek e
bayothungatha	ba yo thungath a
ihlupha	i hluph a
bamtshele	ba m tshel e
uvulekile	u vul ek ile
ngikusize	ngi ku siz e
lamaphuzu	l a ma phuzu, la ma phuzu
abazukuhlala	a ba zu ku hlal a
kwelikamlotha	kw e lika m lotha
nkwe	n kwe
nasebabanango	na se baba nan g o
umacbeth	u macbeth
bakuhlupha	ba ku hluph a
unogwaja	u nogwaja
kangcono	ka ngcono
igane	i gan e
navolovolwana	na volovolw ana
bhulose	bhulose
abakhohlisanayo	a ba khohl is an a yo
uyishiye	u yi shiy e
isilokhu	i s i lokhu
mancinza	ma ncinz a
oluphilayo	o lu phil a yo
umamshengu	u mamshengu
angawaqondi	a nga wa qond i
sebezitika	se be zi tik a
iyasheshisa	i ya shesh is a
lungekho	lu nge kho
nezifamona	n e zi famona
kwenduku	kw e n duku
babeyogcina	b a be yo gcin a
ngesikhulu	ng e si khulu
kwahlaluka	kw a hlaluk a
ukubuminya	u ku bu miny a
azicelile	a zi cel ile
ebona	e bon a
ayoyiphuthaza	a yo yi phuthaz a
uzokwakhiwa	u zo kw akh iw a
wazikhuza	w a zi khuza
akhumbule	a khumbul e
ngamanqina	ng a ma nqina
yaqhuba	y a qhub a
abuye	a buy e
asebuza	a se buz a
zikababa	zika baba
uyihlo	u yihlo
azumeke	a zum ek e
ungasho	u nga sho
welusa	w elus a
bayicela	ba yi cel a
ngizolungisa	ngi zo lung is a
ngakwelinye	nga kw e li nye
ma	ma
wenzeni	w enz e ni
emahlombe	e ma hlombe
engadlanga	e nga dl anga
kwakukuningi	kw a ku ku ningi
ubefike	u be fik e
yezindandatho	y e zin dandatho
bhoka	bhok a
ukwesula	u kw esul a
iyabona	i ya bon a
bengingayeka	be ngi nga yek a
ubhala	u bhal a
ukumzuma	u ku m zum a
eyedwa	e ye dwa
ezikhona	e zi kho na
ukuba	ukuba, u ku b a
ezinqoleni	e zin qol eni
izilwane	i zi lwane
ubengambambele	u be nga m bamb el e
sekuthanda	se ku thand a
kuyise	ku yise
asenzise	a s enz is e
yamvimba	y a m vimb a
ehefuzela	e hefuz el a
uvalelise	u valelis e
wayengakhulumi	w a ye nga khulum i
alikadluli	a li ka dlul i
esikhuntile	e si khunt ile
badle	ba dl e
ngiyakukhuza	ngi ya ku khuz a
bavuthwa	ba vuth w a
phezu	phezu
emanzi	e ma nzi
ngasedandi	nga se dandi
ukungithungathela	u ku ngi thungath el a
lababantu	la ba ba ntu
iwanelisa	i w anel is a
nembodla	n e m bodla
akakwazi	a ka kw azi
kukhona	ku kho na
ngunkulunkulu	ng u nkulu nkulu
okwakuvelela	o kw a ku vel el a
manje	manje
exobho	e xobho
ima	i m a
sebeyafisa	se be ya fis a
nezinhlonze	n e zin hlonze
ukubuza	u ku buz a
angakuphika	a nga ku phik a
emthethweni	e m thethw eni
siyawufuna	si ya wu fun a
ngalutho	nga lu tho
ubungani	u b u ngani
kuhle	ku hle
lesisizwe	le si si zwe
awumenzeli	a wu m enz el i
uyathakathwa	u ya thakath w a
ababona	a ba bon a
lishaya	li shay a
esengumfana	e se ng u m fana
elikhulu	e li khulu
izindlela	i zin dlela
lento	le n to
nochitha	n o chith a
inyamalala	i nyamalal a
ngabathathu	ng a ba thathu
yomuntu	y o mu ntu
inyanda	i nyanda
kubuyelwe	ku buy el w e
ngumfazi	ng u m fazi
